source_id,name,ra,dec,distance,spectral_type,magnitude
GAIA-DR3-6427464123776727168,"GAIA DR3 6427464123776727168",302.19503989,-66.18709128,19.8931,G6V,3.36
GAIA-DR3-6673000841376349696,"GAIA DR3 6673000841376349696",303.47739056,-45.16473054,20.1062,M7V,7.24
GAIA-DR3-1638979384378696704,"GAIA DR3 1638979384378696704",267.01612291,70.88157381,20.2588,G7V,13.78
GAIA-DR3-6324325225803432320,"GAIA DR3 6324325225803432320",218.56843176,-12.51692385,20.3947,M6V,9.89
GAIA-DR3-2824770686019004032,"GAIA DR3 2824770686019004032",352.97167530,19.93731375,20.3965,M1IV,10.83
GAIA-DR3-2824770686019003904,"GAIA DR3 2824770686019003904",352.97012375,19.93699283,20.4278,M5V,9.04
GAIA-DR3-6322070093095493504,"GAIA DR3 6322070093095493504",229.85630133,-7.72270702,20.5494,M3V,9.42
GAIA-DR3-1022456139210632064,"GAIA DR3 1022456139210632064",138.58356162,52.68408017,20.6575,K2V,6.98
GAIA-DR3-1022456104850892928,"GAIA DR3 1022456104850892928",138.59131180,52.68342944,20.6582,M3V,7.05
GAIA-DR3-685103912857072640,"GAIA DR3 685103912857072640",135.09564332,21.83206260,20.7388,M8V,13.41
GAIA-DR3-3022956969731332096,"GAIA DR3 3022956969731332096",88.79209556,-4.17892709,21.0102,G2V,14.24
GAIA-DR3-3907283967108054528,"GAIA DR3 3907283967108054528",184.74174734,11.12695237,21.0832,M1V,11.93
GAIA-DR3-1428427236986209024,"GAIA DR3 1428427236986209024",246.35588833,54.30333867,21.1310,M0V,9.14
GAIA-DR3-4339417394313320192,"GAIA DR3 4339417394313320192",253.89324627,-8.39852302,21.1837,M1IV,13.81
GAIA-DR3-4339465360510320128,"GAIA DR3 4339465360510320128",253.85142033,-8.32657626,21.1962,M6V,10.44
GAIA-DR3-5243594081269535872,"GAIA DR3 5243594081269535872",145.69216012,-68.87998538,21.2122,M3IV,11.13
GAIA-DR3-2009481748875806976,"GAIA DR3 2009481748875806976",348.33773395,57.16966644,21.3364,K9V,5.23
GAIA-DR3-6153483658836320384,"GAIA DR3 6153483658836320384",189.70080544,-38.38740912,21.7325,M8V,11.23
GAIA-DR3-3988987164339438208,"GAIA DR3 3988987164339438208",165.01567860,22.83170230,22.0081,M5V,8.98
GAIA-DR3-1237090738916392832,"GAIA DR3 1237090738916392832",222.84664267,19.10110411,22.0110,K4V,6.43
GAIA-DR3-1237090738916392704,"GAIA DR3 1237090738916392704",222.84805147,19.10026964,22.0273,G4IV,4.48
GAIA-DR3-3098328182579892096,"GAIA DR3 3098328182579892096",122.99468256,8.75040152,22.0791,M4IV,11.40
GAIA-DR3-1784473016438653056,"GAIA DR3 1784473016438653056",322.40807988,17.64497780,22.1130,M2V,9.11
GAIA-DR3-5153091836072107136,"GAIA DR3 5153091836072107136",45.46242451,-16.59453281,22.3867,M4V,10.06
GAIA-DR3-2828928008202069376,"GAIA DR3 2828928008202069376",344.14022173,16.55216937,22.3973,M6IV,7.80
GAIA-DR3-3864615459886222464,"GAIA DR3 3864615459886222464",162.71296407,6.80448954,22.7225,M3IV,10.29
